등록연도,시군구명,연료별,용도별,승용차수,승합차수,특수차수,화물차수
2022,성남시 중원구,휘발유,비사업용,11619,8,1,46
2022,성남시 중원구,휘발유,사업용,28,0,0,0
2022,성남시 중원구,휘발유(무연),비사업용,24156,7,0,13
2022,성남시 중원구,휘발유(무연),사업용,65,0,0,0
2022,성남시 중원구,휘발유(유연),비사업용,35,0,0,0
2022,성남시 분당구,CNG,비사업용,15,0,0,4
2022,성남시 분당구,CNG,사업용,0,485,0,0
2022,성남시 분당구,경유,비사업용,44230,2306,242,7205
2022,성남시 분당구,경유,사업용,353,585,225,1764
2022,성남시 분당구,기타연료,비사업용,0,97,71,261
2022,성남시 분당구,기타연료,사업용,0,3,0,134
2022,성남시 분당구,수소,비사업용,166,0,0,0
2022,성남시 분당구,수소,사업용,19,0,0,0
2022,성남시 분당구,엘피지,비사업용,6190,335,7,451
2022,성남시 분당구,엘피지,사업용,1569,2,0,58
2022,성남시 분당구,전기,비사업용,3348,2,0,131
2022,성남시 분당구,전기,사업용,1424,203,0,56
2022,성남시 분당구,하이브리드(LPG+전기),비사업용,76,0,0,0
2022,성남시 분당구,하이브리드(경유+전기),비사업용,344,0,0,0
2022,성남시 분당구,하이브리드(경유+전기),사업용,14,0,0,0
2022,성남시 분당구,하이브리드(휘발유+전기),비사업용,14880,0,0,1
2022,성남시 분당구,하이브리드(휘발유+전기),사업용,143,0,0,0
2022,성남시 분당구,휘발유,비사업용,47450,21,2,114
2022,성남시 분당구,휘발유,사업용,107,1,0,0
2022,성남시 분당구,휘발유(무연),비사업용,62614,25,0,21
2022,성남시 분당구,휘발유(무연),사업용,861,0,0,0
2022,성남시 분당구,휘발유(유연),비사업용,88,0,0,0
2022,의정부시,CNG,비사업용,13,1,0,6
2022,의정부시,CNG,사업용,0,144,0,0
2022,의정부시,경유,비사업용,42755,4429,384,16763
2022,의정부시,경유,사업용,142,246,266,2457
2022,의정부시,기타연료,비사업용,2,120,84,367
2022,의정부시,기타연료,사업용,0,0,0,9
2022,의정부시,수소,비사업용,45,0,0,0
2022,의정부시,엘피지,비사업용,9979,554,6,890
2022,의정부시,엘피지,사업용,1342,0,0,148
